AMOBLAMIENTO,AMLM-AM-U61-B,BANQUETA TAPIZADA COST BCO  BASE PINTADA NEGRO,,,1,,
,AMLM-MD-B53-B,BANQUETA LAQUEADA BASE PINTADA AS/RS BLANCA,,,2,,
,AMLM-VT J02 A,R- SILLA 4 PATAS DE MADERA TOR TAPIZ SHOT NICKEL,,,6,,
ANAFES ORMAY,ORANAFE-065120,ANAFE VITROCERAMICO VITRO COOK 4,,,,1,
,ORANAFE-INDUCC-I2,ANAFE INDUCCION SMART COOK I2,,1,,,
,ORANAFE-INDUCC-I4,ANAFE INDUCCION SMART COOK I4,,,,2,
,ORANAFE-TECNO-IX,ANAFE TECNO IX - A. INOX,,1,,2,
CAMPANAS FRANKE,CF-TURBOTRO-3716,PURIF TURBOTRONIC 60 CM 1 MOT DESLIZ - BLANCO,1,,1,,
CAMPANAS TST,CTC-300-75,CAMP COLHUE 75 CM,,,,1,
,CTE-740,FILTRO CARBON ACTIVADO (CONJUNTO CARTUCHOS),1,,,,1
,CTESP-280-60,CAMP ESPEJO NEGRO-60-3V-CR-CM,1,,,,
,CTIKUBA-245-90,CAMP KUBA ISLA-90-3V-A-CM (90X50),,,1,1,
,CTLACAR-260-75,CAMP LACAR CRISTAL CURVO -75-3V-CR-CM,1,,,,
,CTLACAR-260-90,CAMP LACAR CRISTAL CURVO-90-3V-CR-CM,,,,1,
,CTLANIN-330-75,CAMP LANIN 3V-A-CM 75 CM,2,,,,
,CTLANIN-330-90,CAMP LANIN 3V-A-CM 90 CM,,,1,,
,CTNIH-210-60,CAMP NIHUIL-60-3V-A-CM (60X52),,1,1,,
,CTNIH-210-90,CAMP NIHUIL-90-3V-A-CM (90X52),,2,,,
,CTP-200-90,PURIFICADOR EXTENSIBLE 3 V - 90 CM,,,,1,
CÓDIGOS ERROR,ERROR 01,ARTÍCULO NO IDENTIFICADO EN BASE DE DATOS,6,,1,,
FIXSYSTEM,SMASF,ANGULOS FIXSYSTEM,84,,1,,
,SMF35 SIN/REG-DERECHA,MÉNSULA FIXSYSTEM 35  CM SIN REGULACION-DERECHA,16,,1,,
,SMF35 SIN/REG-IZQ,MÉNSULA FIXSYSTEM 35  CM SIN REGULACION-IZQUIERDA,18,,1,,
,SMFS35 CON/REG-DERECHA,MÉNSULA FIXSYSTEM 35  CM CON REGULACIÓN-DERECHA,10,,1,,
,SMFS35 CON/REG-IZQ,MÉNSULA FIXSYSTEM 35  CM CON REGULACIÓN-IZQUIERDA,10,,,,
,SMFS45 CON/REG-DERECHA,MÉNSULA FIXSYSTEM 45 CM CON REGULACION-DERECHA,25,,,,
,SMFS45 CON/REG-IZQ,MÉNSULA FIXSYSTEM 45 CM CON REGULACION-IZQUIERDA,26,,,,
,SMFS45 SIN/REG-DERECHA,MÉNSULA FIXSYSTEM 45 CM SIN REGULACION-DERECHA,2,,1,,
,SMFS45 SIN/REG-IZQ,MÉNSULA FIXSYSTEM 45 CM SIN REGULACION-IZQUIERDA,10,,1,,
,SMGFS-120,GUIAS FIXSYSTEM  DE 120 CM,8,,,,1
,SMGFS-60,GUIAS FIXSYSTEM DE 60 CM,18,,1,,
,SMGFS-90,GUIAS FIXSYSTEM  DE 90 CM,10,,,,
GRIFERIAS VARIAS,GFV-0181/M4-CR,GRIFERIA FV MONOCOMANDO LAVATORIO CROMO C/DESAGUE - 0181/M4,4,,,,
,GFV-RADAL-207/C7-CR,GRIFERIA FV LAVATORIO RADAL CROMO C/DESAGUE - 207/C7,2,,,,
,GHDB-BID-BARC,MONOCOMANDO BIDET BARCELONA 82578.49A,1,,1,,
,GHDB-BID-LISB,MONOCOMANDO BIDET LISBOA 82378-16A,,,1,,
,GHDB-CAS-CUAD-A,GRIF HD BAÑO CASCADA CUAD ALTO - 8671A-29A,1,,1,1,
,GHDB-CAS-CUAD-B,GRIF HD BAÑO CASCADA CUAD BAJO - 86701-29A,4,,1,1,
,GHDB-CAS-RED-B,GRIF HD BAÑO CASCADA RED BAJO - 81519-29A,2,,1,1,
,GHDB-DUC-LISBOA,DUCHA EXTERIOR LISBOA 82303-16A,5,,1,,
,GHDB-DUCH-LOND,DUCHA EMBUTIR LINEA BARCELONA/ LONDRES 82509-49A,2,,1,,
,GHDB-DUCHAEX-CUAD,GRIF HD BAÑO DUCHA EXTERIOR CUADRADA - 07307122A,,,1,,
,GHDB-LAV-ALTO-86415-97A,GRIF HD LAVATORIO ALTO 86415-97A,,,1,,
,GHDB-LOND-BAJO,GRIF HD BAÑO LONDRES BAJO - 89701-273A,,,1,,1
,GHDB-MONBID-LISBOA,GRIF HD BAÑO BIDET MONO ACERO  LISBOA - 82378-16A,3,,1,1,
,GHDB-MONO-DOHA,GRIF HD BAÑO MONO DOHA - 65217-262A,2,,1,,
,GHDB-MONO-PARIS,GRIF HD BAÑO MONO PARIS - 62517-190A,2,,1,,
